x,y,r (pixel),is_circle,r (um)
312,474,50,yes,50
594,336,59,yes,59
766,418,71,yes,71
646,544,68,yes,68
704,148,50,yes,50
494,274,47,yes,47
558,448,48,yes,48
390,238,51,yes,51
420,78,67,yes,67
436,452,62,yes,62
764,270,69,yes,69
194,472,56,yes,56
372,600,81,yes,81
802,162,41,yes,41
184,352,56,yes,56
168,596,64,yes,64
352,350,61,yes,61
224,172,60,yes,60
284,60,63,yes,63
140,100,42,yes,42
272,294,35,yes,35
814,640,45,yes,45
80,436,56,yes,56
506,552,55,yes,55
68,326,49,yes,49
564,36,66,yes,66
590,156,53,yes,53
384,584,83,no,83
474,178,40,yes,40
102,212,62,yes,62
654,236,48,yes,48
186,252,30,yes,30
574,636,45,yes,45
60,544,51,yes,51
652,420,40,yes,40
268,388,33,yes,33
330,156,46,yes,46
736,590,40,yes,40
270,622,42,yes,42
448,346,34,yes,34
652,74,31,yes,31
756,436,90,no,90
298,226,35,yes,35
216,328,105,no,105
508,364,29,yes,29
580,244,27,yes,27
358,580,105,no,105
56,114,34,yes,34
678,308,30,yes,30
48,650,54,yes,54
676,672,54,yes,54
470,620,26,yes,26
540,206,26,yes,26
336,366,77,no,77
168,338,76,no,76
814,46,44,yes,44
4,266,36,yes,36
850,104,26,yes,26
758,508,26,yes,26
690,362,23,yes,23
528,108,27,yes,27
196,22,35,yes,35
312,452,70,no,70
848,220,29,yes,29
220,284,19,yes,19
392,608,66,no,66
752,72,28,yes,28
220,674,31,yes,31
716,472,24,yes,24
728,332,20,yes,20
780,432,51,no,51
