x,y,r (pixel),is_circle,r (um)
338,316,40,yes,40
788,328,46,yes,46
122,590,41,yes,41
676,70,51,yes,51
436,220,47,yes,47
254,460,36,yes,36
106,170,39,yes,39
330,572,47,yes,47
548,354,36,yes,36
238,556,38,yes,38
786,468,51,yes,51
226,632,44,yes,44
48,118,33,yes,33
802,554,41,yes,41
60,456,28,yes,28
704,420,34,yes,34
548,196,35,yes,35
270,80,38,yes,38
202,358,44,yes,44
424,402,36,yes,36
714,206,30,yes,30
284,376,40,yes,40
620,334,40,yes,40
600,618,32,yes,32
262,256,29,yes,29
776,152,32,yes,32
668,518,38,yes,38
574,506,37,yes,37
330,224,27,yes,27
490,450,38,yes,38
562,432,40,yes,40
498,122,34,yes,34
710,144,34,yes,34
440,490,30,yes,30
558,134,30,yes,30
20,608,27,yes,27
70,524,35,yes,35
774,614,28,yes,28
52,288,34,yes,34
550,72,33,yes,33
614,190,32,yes,32
716,604,31,yes,31
270,198,32,yes,32
544,654,27,yes,27
496,620,30,yes,30
392,458,34,yes,34
324,466,32,yes,32
434,620,32,yes,32
726,352,25,yes,25
486,516,23,yes,23
348,178,21,yes,21
706,672,36,yes,36
800,26,35,yes,35
118,330,23,yes,23
70,330,17,yes,17
544,574,36,yes,36
286,506,24,yes,24
340,80,28,yes,28
524,272,23,yes,23
618,558,30,yes,30
168,516,30,yes,30
778,256,26,yes,26
668,572,20,yes,20
216,410,24,yes,24
666,178,24,yes,24
834,392,37,yes,37
118,268,26,yes,26
124,366,13,yes,13
368,10,32,yes,32
66,576,24,yes,24
126,472,24,yes,24
398,578,20,yes,20
162,680,33,yes,33
290,538,14,yes,14
648,120,19,yes,19
114,570,22,no,22
100,654,14,yes,14
292,590,13,yes,13
8,496,22,yes,22
58,610,17,yes,17
772,206,15,yes,15
654,626,25,yes,25
456,534,17,yes,17
