x,y,r (pixel),is_circle,r (um)
712,202,51,yes,51
802,260,51,yes,51
784,570,49,yes,49
378,334,51,yes,51
636,270,43,yes,43
232,236,37,yes,37
570,342,46,yes,46
312,436,41,yes,41
476,340,41,yes,41
690,462,52,yes,52
770,122,42,yes,42
366,242,40,yes,40
302,282,39,yes,39
280,516,47,yes,47
160,434,36,yes,36
258,150,51,yes,51
92,456,35,yes,35
698,552,34,yes,34
774,354,42,yes,42
710,388,32,yes,32
540,158,41,yes,41
238,340,39,yes,39
768,432,39,yes,39
84,290,49,yes,49
598,82,48,yes,48
508,512,46,yes,46
632,606,44,yes,44
438,486,29,yes,29
522,266,46,yes,46
548,414,29,yes,29
296,366,27,yes,27
432,560,46,yes,46
126,518,36,yes,36
236,414,38,yes,38
84,190,49,yes,49
176,294,37,yes,37
704,316,37,yes,37
462,126,45,yes,45
622,168,38,yes,38
406,174,32,yes,32
682,112,43,yes,43
364,500,46,yes,46
694,44,27,yes,27
562,574,32,yes,32
308,54,50,yes,50
100,378,44,yes,44
478,426,39,yes,39
472,204,35,yes,35
188,108,26,yes,26
124,112,38,yes,38
440,270,38,yes,38
570,648,36,yes,36
196,536,36,yes,36
284,164,77,no,77
394,80,39,yes,39
240,596,38,yes,38
712,642,49,yes,49
610,514,38,yes,38
172,364,30,yes,30
794,494,29,yes,29
160,592,42,yes,42
394,418,41,yes,41
616,410,32,yes,32
382,604,27,yes,27
170,178,36,yes,36
58,100,27,yes,27
306,210,27,yes,27
498,584,27,yes,27
772,40,42,yes,42
578,216,30,yes,30
228,74,28,yes,28
652,356,35,yes,35
516,70,28,yes,28
38,346,25,yes,25
82,596,30,yes,30
344,136,36,yes,36
140,238,31,yes,31
566,470,28,yes,28
458,32,41,yes,41
510,642,28,yes,28
622,256,63,no,63
798,646,34,yes,34
346,560,29,yes,29
210,476,27,yes,27
154,62,23,yes,23
96,48,33,yes,33
332,604,20,yes,20
198,660,34,yes,34
644,14,31,yes,31
174,420,45,no,45
730,72,20,yes,20
842,88,34,yes,34
518,494,53,no,53
394,320,62,no,62
382,484,47,no,47
60,520,36,no,36
594,528,49,no,49
840,176,47,yes,47
850,460,36,yes,36
832,392,28,yes,28
24,148,26,yes,26
552,32,20,yes,20
388,238,62,no,62
42,560,23,yes,23
294,628,23,yes,23
134,326,17,yes,17
184,32,14,yes,14
784,190,23,yes,23
668,400,18,yes,18
724,510,17,yes,17
296,576,22,yes,22
60,646,21,yes,21
606,456,17,yes,17
538,106,11,yes,11
436,664,49,yes,49
24,42,37,yes,37
414,122,15,yes,15
48,454,16,yes,16
10,474,26,yes,26
144,608,32,no,32
