x,y,r (pixel),is_circle,r (um)
458,438,50,yes,50
218,592,81,no,81
172,74,56,yes,56
412,552,54,yes,54
274,562,70,no,70
582,222,41,yes,41
284,118,53,yes,53
588,478,34,yes,34
136,522,34,yes,34
214,488,41,yes,41
736,578,31,yes,31
428,540,73,no,73
240,586,60,no,60
276,242,37,yes,37
670,464,37,yes,37
164,334,27,yes,27
464,624,60,no,60
142,396,32,yes,32
120,438,23,yes,23
316,608,26,yes,26
194,480,54,no,54
290,514,20,yes,20
658,638,22,yes,22
164,664,47,yes,47
178,608,36,no,36
38,558,25,yes,25
498,580,20,yes,20
760,444,28,yes,28
86,592,22,yes,22
218,620,27,no,27
244,648,22,yes,22
264,606,30,no,30
116,608,29,no,29
454,602,19,yes,19
246,534,17,yes,17
402,570,33,no,33
88,568,34,no,34
