x,y,r (pixel),is_circle,r (um)
380,154,73,yes,73
526,274,57,yes,57
616,182,58,yes,58
648,548,59,yes,59
178,620,53,yes,53
172,296,56,yes,56
306,286,70,yes,70
646,302,53,yes,53
812,130,38,yes,38
440,472,53,yes,53
460,600,62,yes,62
240,110,49,yes,49
522,390,48,yes,48
130,72,55,yes,55
802,582,46,yes,46
746,376,58,yes,58
354,540,46,yes,46
412,352,61,yes,61
506,156,46,yes,46
296,626,57,yes,57
632,422,53,yes,53
744,78,38,yes,38
728,172,50,yes,50
80,378,51,yes,51
426,252,36,yes,36
320,428,63,yes,63
134,180,55,yes,55
228,204,44,yes,44
32,526,70,yes,70
254,522,53,yes,53
812,474,50,yes,50
16,156,64,yes,64
658,22,59,yes,59
174,440,48,yes,48
434,46,33,yes,33
72,254,38,yes,38
724,674,74,yes,74
812,260,64,yes,64
56,652,53,yes,53
566,78,46,yes,46
582,660,56,yes,56
548,486,45,yes,45
722,468,30,yes,30
740,532,34,yes,34
148,196,78,no,78
238,368,42,yes,42
154,522,32,yes,32
558,566,33,yes,33
398,162,91,no,91
328,292,77,no,77
716,246,27,yes,27
154,610,83,no,83
158,454,69,no,69
496,30,28,yes,28
96,452,23,yes,23
362,164,94,no,94
838,32,60,yes,60
344,10,59,yes,59
370,554,67,no,67
742,156,71,no,71
384,620,21,yes,21
310,78,27,yes,27
670,38,40,no,40
718,298,20,yes,20
424,622,62,no,62
510,286,46,no,46
