x,y,r (pixel),is_circle,r (um)
340,248,43,yes,126.85000000000001
508,172,38,yes,112.10000000000001
128,150,41,yes,120.95
214,364,27,yes,79.65
272,366,24,yes,70.80000000000001
594,622,29,yes,85.55000000000001
504,304,27,yes,79.65
174,10,31,yes,91.45
440,120,29,yes,85.55000000000001
280,288,28,yes,82.60000000000001
410,234,29,yes,85.55000000000001
778,654,27,yes,79.65
496,110,28,yes,82.60000000000001
102,294,27,yes,79.65
552,338,32,yes,94.4
680,506,29,yes,85.55000000000001
720,386,24,yes,70.80000000000001
570,184,28,yes,82.60000000000001
54,304,25,yes,73.75
462,412,21,yes,61.95
494,524,27,yes,79.65
466,222,23,yes,67.85000000000001
840,300,27,yes,79.65
50,98,28,yes,82.60000000000001
452,268,26,yes,76.7
612,340,24,yes,70.80000000000001
576,560,19,yes,56.050000000000004
62,472,22,yes,64.9
638,16,22,yes,64.9
80,208,33,yes,97.35000000000001
588,26,27,yes,79.65
14,530,32,yes,94.4
242,14,32,yes,94.4
398,92,20,yes,59.0
412,494,19,yes,56.050000000000004
816,136,20,yes,59.0
374,192,22,yes,64.9
664,70,15,yes,44.25
132,526,23,yes,67.85000000000001
264,524,17,yes,50.150000000000006
396,150,17,yes,50.150000000000006
192,124,23,yes,67.85000000000001
640,524,17,yes,50.150000000000006
738,602,16,yes,47.2
34,260,21,yes,61.95
134,96,14,yes,41.300000000000004
836,640,18,yes,53.1
544,660,25,yes,73.75
642,674,20,yes,59.0
