x,y,r (pixel),is_circle,r (um)
352,110,65,yes,65
68,558,100,yes,100
434,328,92,yes,92
454,70,54,yes,54
420,456,54,yes,54
92,228,85,no,85
322,590,74,yes,74
246,234,70,yes,70
68,222,108,yes,108
202,336,87,no,87
78,534,76,no,76
216,582,53,yes,53
212,360,85,no,85
44,380,81,yes,81
222,104,60,yes,60
416,304,100,no,100
300,342,58,yes,58
76,580,78,no,78
524,220,48,yes,48
454,310,100,no,100
64,392,58,no,58
530,126,44,yes,44
440,294,109,no,109
184,462,53,yes,53
370,100,86,no,86
190,354,54,no,54
122,66,58,yes,58
64,370,58,no,58
260,500,41,yes,41
370,126,90,no,90
600,180,43,yes,43
334,564,87,no,87
116,218,100,no,100
468,166,75,no,75
254,418,38,yes,38
432,556,48,yes,48
90,558,102,no,102
274,228,85,no,85
356,218,42,yes,42
604,94,39,yes,39
246,568,73,no,73
354,442,63,no,63
438,178,44,yes,44
156,350,90,no,90
234,212,86,no,86
326,446,43,yes,43
332,120,80,no,80
98,198,71,no,71
342,584,71,no,71
300,584,61,no,61
538,392,42,yes,42
312,326,69,no,69
264,656,36,yes,36
542,294,28,yes,28
108,242,60,no,60
128,86,47,no,47
96,582,68,no,68
236,90,46,no,46
202,430,49,no,49
474,402,25,yes,25
352,90,45,no,45
66,514,32,no,32
412,178,40,no,40
322,360,32,no,32
324,610,41,no,41
442,538,31,no,31
338,466,29,no,29
168,378,36,no,36
312,110,48,no,48
348,604,40,no,40
550,126,34,no,34
546,20,22,no,22
668,22,22,no,22
440,200,23,no,23
310,382,30,no,30
214,554,29,no,29
182,322,20,no,20
