x,y,r (pixel),is_circle,r (um)
580,228,225,no,225
536,194,170,no,170
346,530,162,no,162
240,182,98,no,98
646,518,143,no,143
560,212,201,no,201
524,220,197,yes,197
246,204,116,yes,116
518,184,182,no,182
584,250,246,no,246
602,238,249,no,249
612,490,186,no,186
548,160,212,no,212
630,504,163,no,163
508,242,173,no,173
614,464,88,yes,88
4,362,169,yes,169
658,494,121,no,121
336,552,186,yes,186
492,196,202,no,202
34,42,124,yes,124
324,572,210,no,210
362,514,169,no,169
512,204,160,no,160
562,456,142,no,142
268,188,89,no,89
504,168,202,no,202
660,458,135,no,135
590,446,145,no,145
312,528,195,no,195
674,536,110,no,110
382,528,206,no,206
594,466,127,no,127
334,504,196,no,196
642,484,122,no,122
260,166,131,no,131
240,160,119,no,119
836,376,141,yes,141
686,490,94,no,94
638,464,87,no,87
224,196,84,no,84
698,556,80,no,80
552,182,149,no,149
610,444,97,no,97
768,158,56,yes,56
292,550,118,no,118
486,256,118,no,118
216,176,74,no,74
784,334,122,no,122
276,208,96,no,96
594,560,44,no,44
644,442,73,no,73
764,178,32,no,32
586,522,28,no,28
484,348,22,yes,22
724,520,46,no,46
234,226,55,no,55
660,568,33,no,33
