x,y,r (pixel),is_circle,r (um)
454,540,134,yes,134
298,284,198,no,198
590,142,140,yes,140
478,550,142,no,142
588,112,124,no,124
370,280,118,no,118
320,270,194,no,194
400,300,121,yes,121
338,248,247,no,247
208,572,111,yes,111
612,126,135,no,135
668,568,128,no,128
470,572,161,no,161
482,528,160,no,160
496,560,161,no,161
566,522,249,no,249
192,364,98,yes,98
182,552,121,no,121
702,550,89,yes,89
640,344,128,no,128
726,560,108,no,108
332,324,242,no,242
208,528,156,no,156
240,560,111,no,111
394,580,204,no,204
308,310,187,no,187
392,276,103,no,103
362,242,240,no,240
320,292,170,no,170
436,290,148,no,148
672,376,109,no,109
640,366,87,yes,87
422,504,180,no,180
378,300,135,no,135
354,264,218,no,218
194,484,199,no,199
434,554,158,no,158
558,540,236,no,236
478,598,188,no,188
460,506,178,no,178
430,526,157,no,157
566,114,145,no,145
202,554,101,no,101
386,544,223,no,223
184,580,143,no,143
154,550,135,no,135
514,570,182,no,182
580,166,164,no,164
408,328,156,no,156
440,312,155,no,155
240,522,144,no,144
388,256,125,no,125
496,606,201,no,201
490,582,176,no,176
554,134,164,no,164
344,288,146,no,146
176,528,115,no,115
668,352,118,no,118
620,172,177,no,177
222,550,114,no,114
598,200,199,no,199
346,226,198,no,198
220,490,164,no,164
152,530,137,no,137
686,394,132,no,132
618,340,121,no,121
206,348,118,no,118
608,380,118,no,118
176,348,90,no,90
418,270,164,no,164
136,318,157,no,157
194,330,105,no,105
652,324,149,no,149
194,506,140,no,140
702,574,111,no,111
532,556,198,no,198
226,182,88,no,88
414,542,209,no,209
244,358,157,no,157
420,302,140,no,140
148,356,118,no,118
540,530,222,no,222
528,588,204,no,204
500,498,186,no,186
662,536,148,no,148
632,146,161,no,161
398,236,146,no,146
610,358,137,no,137
746,562,121,no,121
160,378,121,no,121
226,582,111,no,111
798,222,86,yes,86
388,356,181,no,181
640,166,168,no,168
622,320,122,no,122
258,498,156,no,156
418,570,179,no,179
424,240,166,no,166
518,530,153,no,153
678,550,132,no,132
366,318,150,no,150
266,538,145,no,145
706,530,136,no,136
166,568,116,no,116
634,386,106,no,106
646,130,169,no,169
272,560,161,no,161
446,580,154,no,154
610,148,126,no,126
692,368,123,no,123
384,220,196,no,196
224,368,123,no,123
344,60,123,yes,123
402,510,184,no,184
266,516,148,no,148
208,290,137,no,137
618,98,134,no,134
590,370,134,no,134
94,222,71,yes,71
436,258,148,no,148
222,328,104,no,104
236,204,80,yes,80
566,150,144,no,144
434,466,171,no,171
600,178,159,no,159
438,600,149,no,149
164,294,136,no,136
554,78,150,no,150
580,90,133,no,133
170,508,123,no,123
648,408,111,no,111
382,332,156,no,156
694,336,127,no,127
790,202,75,no,75
246,330,131,no,131
158,324,105,no,105
706,500,122,no,122
444,494,150,no,150
544,272,53,yes,53
338,40,99,no,99
730,540,90,no,90
206,184,81,no,81
658,146,145,no,145
692,592,115,no,115
300,426,71,no,71
364,344,126,no,126
680,312,121,no,121
686,520,113,no,113
724,580,99,no,99
622,406,93,no,93
112,456,56,no,56
246,186,76,no,76
534,148,126,no,126
722,510,116,no,116
94,242,76,no,76
246,586,90,no,90
94,442,58,no,58
2,546,77,yes,77
200,592,91,no,91
180,314,86,no,86
774,228,72,no,72
318,54,125,no,125
172,488,105,no,105
284,468,82,no,82
76,416,63,no,63
316,414,80,no,80
224,162,78,no,78
62,212,94,no,94
16,326,59,yes,59
570,270,52,no,52
346,310,92,no,92
324,442,61,no,61
652,106,104,no,104
96,200,74,no,74
128,352,66,no,66
222,510,93,no,93
196,166,87,no,87
184,388,82,no,82
112,232,75,no,75
342,86,93,no,93
246,156,81,no,81
206,380,77,no,77
822,216,103,no,103
116,208,76,no,76
656,300,96,no,96
222,616,56,no,56
668,118,116,no,116
532,128,105,no,105
340,348,101,no,101
770,200,85,no,85
216,208,61,no,61
370,40,115,no,115
666,592,92,no,92
716,358,72,no,72
542,506,90,no,90
762,110,36,yes,36
298,614,35,yes,35
286,448,63,no,63
220,410,56,no,56
370,84,89,no,89
250,606,80,no,80
192,612,71,no,71
290,70,68,no,68
460,230,85,no,85
640,438,56,no,56
520,360,44,no,44
626,476,35,no,35
386,198,104,no,104
310,462,59,no,59
826,384,69,no,69
22,344,65,no,65
236,632,52,no,52
108,390,28,no,28
458,334,53,no,53
532,254,45,no,45
94,466,37,yes,37
86,526,50,no,50
630,456,36,no,36
232,302,70,no,70
544,622,63,no,63
74,230,52,no,52
620,194,80,no,80
202,466,67,no,67
54,436,56,no,56
168,444,44,no,44
650,552,69,no,69
688,488,61,no,61
280,430,51,no,51
612,238,42,no,42
130,442,41,no,41
510,146,93,no,93
600,400,57,no,57
410,592,69,no,69
146,574,49,no,49
748,312,47,no,47
734,424,42,no,42
146,602,34,no,34
236,436,25,no,25
22,544,56,no,56
456,366,33,no,33
194,432,32,no,32
280,232,31,no,31
636,230,49,no,49
588,260,40,no,40
324,76,74,no,74
736,394,49,no,49
836,88,37,yes,37
440,346,58,no,58
712,476,34,no,34
476,344,34,no,34
296,40,74,no,74
744,586,60,no,60
498,440,58,no,58
758,546,56,no,56
42,334,49,no,49
102,284,26,no,26
354,540,66,no,66
190,412,30,no,30
688,424,28,no,28
140,392,28,no,28
126,480,17,no,17
