index,x,y,r (pixel),is_circle,r (um),probability
19,834,348,14,yes,14,0.5921052631578947
9,440,290,13,yes,13,0.5277777777777778
98,452,34,22,yes,22,0.5080645161290323
1,500,110,9,yes,9,0.5
62,716,92,19,yes,19,0.5
23,794,592,15,yes,15,0.5
11,300,596,14,yes,14,0.5
22,452,466,15,yes,15,0.4880952380952381
5,664,52,12,yes,12,0.46875
6,584,364,12,yes,12,0.46875
101,650,426,22,yes,22,0.4677419354838709
21,676,88,15,yes,15,0.4642857142857143
48,546,390,17,yes,17,0.4479166666666667
13,690,226,14,yes,14,0.4473684210526316
115,760,360,24,yes,24,0.4469696969696969
116,826,498,24,yes,24,0.4469696969696969
109,592,614,22,yes,22,0.4435483870967742
99,402,26,22,yes,22,0.4435483870967742
121,220,442,25,yes,25,0.4428571428571428
16,672,318,14,yes,14,0.4342105263157895
30,346,156,16,yes,16,0.4318181818181818
140,238,314,27,yes,27,0.4276315789473684
90,140,212,22,yes,22,0.4274193548387097
97,782,636,22,yes,22,0.4274193548387097
38,512,80,17,yes,17,0.4270833333333333
18,514,208,14,yes,14,0.4210526315789473
56,654,222,18,no,18,0.42
93,578,466,22,yes,22,0.4193548387096774
28,712,494,15,yes,15,0.4166666666666667
53,732,132,17,yes,17,0.4166666666666667
43,636,324,17,yes,17,0.4166666666666667
10,730,66,13,yes,13,0.4166666666666667
20,104,546,15,yes,15,0.4166666666666667
94,684,400,22,yes,22,0.4112903225806452
8,488,166,12,yes,12,0.40625
36,556,608,17,yes,17,0.40625
27,690,120,15,yes,15,0.4047619047619047
26,558,324,15,yes,15,0.4047619047619047
139,690,462,27,yes,27,0.4013157894736842
114,620,458,23,yes,23,0.3984375
54,576,342,17,no,17,0.3958333333333333
100,430,432,22,yes,22,0.3951612903225806
138,750,590,27,yes,27,0.3947368421052631
4,314,664,12,yes,12,0.390625
92,380,446,22,yes,22,0.3870967741935484
31,546,96,16,yes,16,0.3863636363636363
35,516,454,16,yes,16,0.3863636363636363
60,204,124,18,yes,18,0.38
42,566,118,17,yes,17,0.375
133,728,302,26,yes,26,0.375
84,466,506,20,yes,20,0.375
32,610,420,16,yes,16,0.375
122,264,420,25,yes,25,0.3714285714285714
107,540,176,22,no,22,0.3709677419354839
147,382,292,29,yes,29,0.3658536585365853
44,706,610,17,yes,17,0.3645833333333333
113,450,204,23,yes,23,0.359375
126,468,604,25,no,25,0.3571428571428571
73,492,46,19,yes,19,0.3557692307692308
63,376,336,19,yes,19,0.3557692307692308
15,762,128,14,yes,14,0.3552631578947368
108,754,510,22,yes,22,0.3548387096774194
95,762,168,22,yes,22,0.3548387096774194
134,160,472,26,yes,26,0.3541666666666667
102,486,398,22,no,22,0.3467741935483871
68,770,302,19,yes,19,0.3461538461538461
40,730,206,17,yes,17,0.34375
39,626,512,17,no,17,0.34375
141,712,160,27,no,27,0.3421052631578947
83,340,470,20,yes,20,0.3392857142857143
106,444,384,22,yes,22,0.3387096774193548
105,696,190,22,no,22,0.3387096774193548
79,806,456,19,yes,19,0.3365384615384615
170,586,572,39,no,39,0.3363636363636363
123,446,338,25,no,25,0.3357142857142857
152,188,588,29,no,29,0.3353658536585366
24,270,650,15,yes,15,0.3333333333333333
0,698,262,9,yes,9,0.3333333333333333
117,654,184,24,no,24,0.3333333333333333
110,416,664,22,yes,22,0.3333333333333333
118,154,82,24,no,24,0.3333333333333333
104,462,268,22,no,22,0.3306451612903225
12,672,244,14,yes,14,0.3289473684210526
14,782,114,14,yes,14,0.3289473684210526
157,516,576,32,yes,32,0.3277777777777778
61,490,430,18,yes,18,0.32
29,568,640,16,yes,16,0.3181818181818182
146,796,416,29,yes,29,0.3170731707317073
3,626,214,11,yes,11,0.3166666666666666
103,684,288,22,yes,22,0.314516129032258
161,748,408,34,no,34,0.3125
124,288,194,25,yes,25,0.3071428571428571
127,324,524,25,yes,25,0.3071428571428571
129,284,246,25,yes,25,0.3071428571428571
91,652,358,22,yes,22,0.3064516129032258
149,710,350,29,yes,29,0.3048780487804878
177,246,554,49,no,49,0.3043478260869565
137,326,634,27,yes,27,0.3026315789473684
17,458,104,14,yes,14,0.3026315789473684
58,574,400,18,yes,18,0.3
154,376,634,29,no,29,0.298780487804878
135,698,56,26,yes,26,0.2986111111111111
132,334,368,26,yes,26,0.2986111111111111
96,668,640,22,yes,22,0.2983870967741935
69,780,266,19,yes,19,0.2980769230769231
25,568,180,15,yes,15,0.2976190476190476
162,524,644,34,no,34,0.296875
165,794,218,35,no,35,0.2959183673469387
81,744,248,20,yes,20,0.2946428571428571
167,724,548,37,no,37,0.2932692307692308
166,74,520,37,no,37,0.2932692307692308
51,542,300,17,no,17,0.2916666666666667
55,346,326,17,yes,17,0.2916666666666667
65,162,422,19,yes,19,0.2884615384615384
72,490,626,19,yes,19,0.2884615384615384
158,742,46,32,no,32,0.2833333333333333
169,654,546,38,no,38,0.2830188679245283
144,644,488,27,no,27,0.2828947368421052
89,422,230,22,yes,22,0.282258064516129
52,538,424,17,yes,17,0.28125
153,178,522,29,no,29,0.2804878048780488
64,630,392,19,yes,19,0.2788461538461538
67,504,140,19,yes,19,0.2788461538461538
87,614,652,21,yes,21,0.2758620689655172
130,284,328,25,no,25,0.2714285714285714
45,648,296,17,yes,17,0.2708333333333333
47,524,522,17,yes,17,0.2708333333333333
142,384,380,27,no,27,0.2697368421052631
164,462,140,34,no,34,0.265625
120,72,176,24,no,24,0.2651515151515151
136,594,232,26,no,26,0.2638888888888889
57,300,448,18,yes,18,0.26
168,384,588,37,no,37,0.2596153846153846
80,366,78,19,no,19,0.2596153846153846
172,468,556,39,no,39,0.2545454545454545
175,628,276,45,no,45,0.2539682539682539
156,610,90,30,no,30,0.25
86,70,572,21,no,21,0.25
111,552,522,22,no,22,0.25
112,244,244,22,no,22,0.25
82,340,432,20,no,20,0.25
171,270,610,39,no,39,0.2409090909090909
77,414,534,19,no,19,0.2403846153846154
163,56,322,34,no,34,0.2395833333333333
160,644,138,33,yes,33,0.2391304347826087
34,418,566,16,yes,16,0.2386363636363636
128,112,422,25,yes,25,0.2357142857142857
125,488,234,25,yes,25,0.2357142857142857
119,302,486,24,yes,24,0.2348484848484848
174,156,164,40,yes,40,0.2321428571428571
176,540,246,49,no,49,0.2318840579710145
148,584,36,29,yes,29,0.2317073170731707
66,630,50,19,yes,19,0.2307692307692307
143,250,286,27,no,27,0.2302631578947368
131,422,476,25,no,25,0.2285714285714285
173,802,550,40,no,40,0.2276785714285714
155,212,272,29,no,29,0.2256097560975609
59,188,350,18,no,18,0.22
46,656,26,17,yes,17,0.21875
37,548,64,17,yes,17,0.21875
151,762,460,29,yes,29,0.2134146341463414
150,500,342,29,no,29,0.2134146341463414
76,684,574,19,yes,19,0.2115384615384615
159,376,506,32,yes,32,0.2111111111111111
50,188,550,17,yes,17,0.2083333333333333
41,490,194,17,yes,17,0.1979166666666666
33,272,578,16,yes,16,0.1931818181818181
85,194,232,20,yes,20,0.1875
2,426,308,11,yes,11,0.1833333333333333
49,584,502,17,yes,17,0.1770833333333333
70,386,148,19,yes,19,0.173076923076923
145,634,600,28,yes,28,0.173076923076923
74,586,314,19,yes,19,0.1634615384615384
7,116,568,12,yes,12,0.15625
88,306,566,21,yes,21,0.1551724137931034
75,794,336,19,yes,19,0.1346153846153846
71,478,78,19,yes,19,0.125
78,616,360,19,yes,19,0.0961538461538461
