x,y,r (pixel),is_circle,r (um)
452,490,100,yes,100
618,222,221,yes,221
320,268,114,no,114
578,228,207,no,207
290,274,102,yes,102
598,208,196,no,196
572,256,236,no,236
124,256,101,yes,101
474,484,103,no,103
494,482,122,no,122
678,446,69,yes,69
532,206,205,no,205
582,194,172,no,172
574,282,262,no,262
710,44,51,yes,51
580,330,308,no,308
372,54,94,no,94
104,254,83,no,83
670,610,91,yes,91
340,60,74,yes,74
292,246,129,no,129
562,186,154,no,154
370,158,36,yes,36
274,262,117,no,117
96,234,114,no,114
600,152,201,no,201
252,254,140,no,140
462,464,127,no,127
348,40,82,no,82
852,182,72,yes,72
570,156,140,no,140
274,236,58,no,58
340,244,48,no,48
650,612,91,no,91
434,480,80,no,80
700,448,80,no,80
