x,y,r (pixel),is_circle,r (um)
430,270,139,yes,139
658,518,159,yes,159
106,216,148,yes,148
332,542,122,yes,122
762,170,162,yes,162
430,250,137,no,137
656,538,170,no,170
406,234,233,no,233
458,290,168,no,168
410,256,162,no,162
386,222,220,no,220
676,534,160,no,160
656,496,141,no,141
454,240,204,no,204
450,218,224,no,224
408,278,189,no,189
434,290,161,no,161
344,562,164,no,164
400,296,188,no,188
476,216,210,no,210
638,520,174,no,174
86,224,170,no,170
676,500,135,no,135
390,268,176,no,176
106,196,137,no,137
626,540,196,no,196
450,272,166,no,166
378,246,196,no,196
480,268,168,no,168
242,344,65,yes,65
694,542,202,no,202
634,496,183,no,183
316,530,142,no,142
130,218,214,no,214
608,558,220,no,220
84,204,168,no,168
688,518,162,no,162
790,192,202,no,202
636,476,170,no,170
750,152,150,no,150
646,570,202,no,202
122,170,194,no,194
96,244,181,no,181
120,252,179,no,179
472,308,189,no,189
696,486,160,no,160
346,528,101,no,101
312,558,145,no,145
426,228,116,no,116
146,236,210,no,210
312,510,159,no,159
362,548,133,no,133
744,130,128,no,128
664,476,121,no,121
174,240,210,no,210
680,556,179,no,179
206,444,85,no,85
92,176,175,no,175
772,150,150,no,150
126,196,126,no,126
186,440,74,no,74
264,350,49,no,49
788,164,172,no,172
424,202,90,no,90
336,510,90,no,90
246,366,38,no,38
408,214,97,no,97
192,408,47,no,47
404,194,76,no,76
646,458,104,no,104
258,330,66,no,66
700,566,98,no,98
86,150,87,no,87
128,274,116,no,116
682,466,105,no,105
386,316,75,no,75
