x,y,r (pixel),is_circle,r (um)
706,146,64,yes,188.8
278,146,53,yes,156.35000000000002
148,604,58,yes,171.10000000000002
398,90,51,yes,150.45000000000002
322,280,57,yes,168.15
488,180,65,yes,191.75
808,376,46,yes,135.70000000000002
580,258,56,yes,165.20000000000002
598,154,48,yes,141.60000000000002
792,204,46,yes,135.70000000000002
742,300,63,yes,185.85000000000002
306,524,46,yes,135.70000000000002
538,68,61,yes,179.95000000000002
238,228,43,yes,126.85000000000001
104,88,58,yes,171.10000000000002
542,394,87,yes,256.65000000000003
756,462,56,yes,165.20000000000002
224,326,51,yes,150.45000000000002
488,280,43,yes,126.85000000000001
368,446,64,yes,188.8
412,346,53,yes,156.35000000000002
136,256,65,yes,191.75
690,392,44,yes,129.8
782,62,51,yes,150.45000000000002
646,320,40,yes,118.0
458,198,95,no,280.25
186,160,44,yes,129.8
260,612,53,yes,156.35000000000002
168,398,43,yes,126.85000000000001
686,32,54,yes,159.3
678,610,62,yes,182.9
470,482,48,yes,141.60000000000002
58,196,35,yes,103.25
196,78,34,yes,100.30000000000001
256,434,61,yes,179.95000000000002
270,34,55,yes,162.25
104,346,40,yes,118.0
214,526,45,yes,132.75
758,552,49,yes,144.55
560,514,48,yes,141.60000000000002
368,180,51,yes,150.45000000000002
408,248,36,yes,106.2
400,546,46,yes,135.70000000000002
460,634,38,yes,112.10000000000001
454,28,30,yes,88.5
130,596,78,no,230.10000000000002
660,220,34,yes,100.30000000000001
624,78,28,yes,82.60000000000001
398,620,32,yes,94.4
324,366,38,yes,112.10000000000001
638,524,34,yes,100.30000000000001
766,624,30,yes,88.5
76,402,30,yes,88.5
614,456,27,yes,79.65
26,356,43,yes,126.85000000000001
706,518,24,yes,70.80000000000001
86,548,28,yes,82.60000000000001
832,130,38,yes,112.10000000000001
118,174,28,yes,82.60000000000001
180,24,24,yes,70.80000000000001
2,14,63,yes,185.85000000000002
244,598,53,no,156.35000000000002
340,584,30,yes,88.5
796,358,34,no,100.30000000000001
