x,y,r (pixel),is_circle,r (um)
694,276,43,yes,126.85000000000001
448,276,61,yes,179.95000000000002
240,272,50,yes,147.5
332,276,46,yes,135.70000000000002
782,236,48,yes,141.60000000000002
310,128,44,yes,129.8
516,92,53,yes,156.35000000000002
60,236,45,yes,132.75
624,112,49,yes,144.55
728,96,45,yes,132.75
140,304,50,yes,147.5
160,212,38,yes,112.10000000000001
368,198,42,yes,123.9
122,68,50,yes,147.5
360,42,55,yes,162.25
222,76,47,yes,138.65
610,238,52,yes,153.4
698,184,45,yes,132.75
50,136,46,yes,135.70000000000002
164,138,33,yes,97.35000000000001
444,162,39,yes,115.05000000000001
836,112,40,yes,118.0
592,18,35,yes,103.25
428,86,30,yes,88.5
284,26,26,yes,76.7
238,164,38,yes,112.10000000000001
292,202,30,yes,88.5
674,38,30,yes,88.5
800,52,24,yes,70.80000000000001
560,160,28,yes,82.60000000000001
460,258,62,no,182.9
120,302,70,no,206.5
772,152,29,yes,85.55000000000001
114,172,25,yes,73.75
512,204,34,yes,100.30000000000001
826,172,24,yes,70.80000000000001
250,256,53,no,156.35000000000002
516,286,22,yes,64.9
618,220,57,no,168.15
448,20,33,yes,97.35000000000001
538,244,23,yes,67.85000000000001
312,272,57,no,168.15
212,210,19,yes,56.050000000000004
422,206,21,yes,61.95
570,266,15,yes,44.25
