x,y,r (pixel),is_circle,r (um)
436,502,95,no,95
356,354,88,no,88
396,392,80,no,80
86,346,77,no,77
292,550,74,no,74
752,150,49,yes,49
228,144,41,yes,41
200,618,42,yes,42
128,558,48,yes,48
706,238,42,yes,42
60,242,36,yes,36
788,398,32,yes,32
410,86,84,no,84
672,68,70,no,70
292,122,38,yes,38
788,258,34,yes,34
332,304,46,no,46
742,318,38,yes,38
178,64,38,yes,38
198,498,72,no,72
612,548,41,yes,41
284,454,40,yes,40
582,400,34,yes,34
388,84,36,yes,36
168,196,40,yes,40
320,236,25,yes,25
80,476,46,yes,46
756,466,39,yes,39
556,110,34,yes,34
516,60,30,yes,30
506,302,76,no,76
96,488,81,no,81
456,58,33,yes,33
804,42,35,yes,35
404,306,34,yes,34
718,402,33,yes,33
304,522,72,no,72
506,418,40,yes,40
474,420,71,no,71
46,40,34,yes,34
108,84,32,yes,32
740,166,62,no,62
534,356,29,yes,29
300,372,35,yes,35
444,570,32,yes,32
126,246,25,yes,25
254,300,44,no,44
744,34,27,yes,27
494,108,31,yes,31
110,632,34,yes,34
608,70,29,yes,29
156,658,24,yes,24
248,236,23,yes,23
468,324,61,no,61
508,172,46,no,46
416,222,30,yes,30
134,352,25,yes,25
484,308,44,no,44
182,312,34,yes,34
358,298,62,no,62
182,458,25,yes,25
54,542,33,yes,33
36,370,29,yes,29
490,186,51,no,51
554,466,46,no,46
708,86,30,yes,30
278,366,60,no,60
194,594,60,no,60
80,378,47,no,47
148,486,23,yes,23
584,218,36,no,36
510,528,32,yes,32
200,258,28,yes,28
744,524,25,yes,25
804,338,27,yes,27
126,300,31,yes,31
286,192,33,yes,33
606,130,22,yes,22
552,304,30,yes,30
556,634,50,no,50
292,428,48,no,48
334,160,28,no,28
340,482,28,yes,28
186,372,25,yes,25
202,544,23,yes,23
194,52,46,no,46
624,256,46,no,46
588,632,44,no,44
80,184,22,yes,22
332,76,23,yes,23
522,266,22,yes,22
226,454,21,yes,21
128,36,19,yes,19
64,314,39,no,39
688,524,33,yes,33
690,464,30,yes,30
422,358,23,yes,23
28,146,18,yes,18
116,460,54,no,54
216,588,46,no,46
76,296,42,no,42
634,384,21,yes,21
286,258,20,yes,20
374,128,19,yes,19
160,310,48,no,48
56,368,43,no,43
252,638,37,no,37
162,412,30,no,30
384,256,25,no,25
622,340,33,yes,33
64,116,28,yes,28
380,550,44,no,44
508,588,44,no,44
402,10,38,yes,38
762,78,25,yes,25
610,174,24,yes,24
240,384,32,no,32
412,168,25,yes,25
430,448,23,yes,23
72,224,39,no,39
312,558,38,no,38
70,412,25,yes,25
684,126,20,yes,20
200,418,28,no,28
312,648,24,yes,24
226,348,20,yes,20
116,202,18,yes,18
526,406,36,no,36
830,450,32,yes,32
386,452,24,yes,24
448,614,23,yes,23
714,606,23,yes,23
690,348,30,no,30
36,192,30,no,30
348,420,29,no,29
354,636,23,yes,23
70,596,29,yes,29
448,100,29,no,29
392,494,23,yes,23
490,366,19,yes,19
184,110,16,yes,16
98,366,36,no,36
696,172,23,yes,23
456,250,22,yes,22
542,562,18,yes,18
652,206,21,yes,21
576,450,20,yes,20
320,606,19,yes,19
562,496,31,no,31
400,612,25,yes,25
452,184,23,yes,23
652,156,23,yes,23
118,164,19,yes,19
126,134,32,no,32
662,582,32,no,32
362,216,24,yes,24
142,442,23,yes,23
648,114,22,yes,22
664,306,22,yes,22
70,630,17,yes,17
284,578,17,no,17
450,148,22,yes,22
100,330,15,yes,15
630,442,27,yes,27
268,48,21,yes,21
412,128,19,yes,19
106,392,17,yes,17
232,560,23,no,23
488,466,19,yes,19
560,168,25,yes,25
722,562,23,yes,23
110,420,22,yes,22
256,402,22,no,22
360,516,18,yes,18
148,566,35,no,35
452,398,29,yes,29
674,566,25,no,25
356,42,19,yes,19
232,56,17,yes,17
178,504,22,yes,22
480,644,22,yes,22
518,628,21,yes,21
