x,y,r (pixel),is_circle,r (um)
626,206,47,yes,47
448,438,41,yes,41
582,588,74,no,74
268,610,54,yes,54
678,604,71,no,71
710,418,57,yes,57
644,350,39,yes,39
616,116,48,yes,48
362,586,54,yes,54
560,370,47,yes,47
704,198,54,no,54
490,616,68,no,68
570,568,69,no,69
590,284,42,yes,42
660,500,53,no,53
394,498,39,yes,39
514,290,37,yes,37
594,572,44,yes,44
742,524,59,no,59
646,482,50,no,50
794,414,49,no,49
530,456,40,yes,40
668,274,44,yes,44
770,626,41,no,41
476,510,38,yes,38
708,398,56,no,56
248,602,40,no,40
702,124,36,yes,36
680,568,46,no,46
402,632,34,no,34
614,408,48,no,48
752,66,32,yes,32
782,126,46,no,46
716,316,46,no,46
586,468,38,no,38
698,594,37,yes,37
538,364,44,no,44
796,242,34,yes,34
692,534,26,yes,26
604,196,50,no,50
732,264,22,yes,22
542,614,26,yes,26
540,518,34,yes,34
430,564,20,yes,20
482,662,21,yes,21
