x,y,r (pixel),is_circle,r (um)
306,346,76,yes,76
134,78,72,yes,72
626,102,70,yes,70
318,222,36,yes,36
202,218,71,yes,71
152,412,74,yes,74
786,100,76,yes,76
270,532,80,yes,80
76,260,53,yes,53
638,494,53,yes,53
496,62,56,yes,56
364,136,54,yes,54
260,86,52,yes,52
586,220,43,yes,43
438,322,45,yes,45
586,390,62,yes,62
402,590,59,yes,59
402,232,41,yes,41
724,240,46,yes,46
732,430,52,yes,52
528,294,40,yes,40
658,210,25,yes,25
754,328,39,yes,39
486,222,35,yes,35
650,276,34,yes,34
678,352,36,yes,36
68,596,57,no,57
828,232,52,yes,52
152,532,40,yes,40
44,160,37,yes,37
454,150,35,yes,35
408,404,35,yes,35
476,472,32,yes,32
520,548,46,yes,46
610,122,125,no,125
812,484,34,yes,34
530,154,33,yes,33
402,484,32,yes,32
158,628,41,yes,41
484,398,34,yes,34
168,426,87,no,87
272,512,72,no,72
320,330,93,no,93
568,402,74,no,74
702,166,29,yes,29
412,570,61,no,61
62,492,45,yes,45
546,470,29,yes,29
700,34,29,yes,29
156,302,30,yes,30
348,442,29,yes,29
296,364,73,no,73
82,576,60,no,60
658,410,20,yes,20
754,504,23,yes,23
596,300,25,no,25
452,336,64,no,64
562,508,12,yes,12
798,116,56,no,56
700,296,22,yes,22
414,66,27,yes,27
360,116,39,no,39
