x,y,r (pixel),is_circle,r (um)
166,330,99,no,99
444,232,93,no,93
134,302,93,no,93
418,232,84,no,84
518,100,94,no,94
566,330,52,yes,52
268,476,91,no,91
146,318,95,no,95
392,94,93,no,93
402,212,86,no,86
736,84,82,no,82
616,100,50,yes,50
114,518,99,no,99
696,206,99,no,99
576,248,99,no,99
290,184,77,no,77
158,300,68,yes,68
422,204,97,no,97
640,124,95,no,95
382,430,53,yes,53
438,368,78,no,78
392,242,66,no,66
732,62,61,yes,61
182,272,99,no,99
446,318,99,no,99
162,278,95,no,95
762,390,55,yes,55
656,378,54,yes,54
182,316,99,no,99
618,498,99,no,99
530,594,90,no,90
382,262,99,no,99
240,466,99,no,99
420,118,95,no,95
308,160,91,no,91
132,548,54,yes,54
170,252,99,no,99
632,202,99,no,99
442,252,92,no,92
464,362,52,yes,52
292,430,95,no,95
190,290,94,no,94
414,90,77,no,77
522,450,99,no,99
242,440,84,no,84
710,82,80,no,80
716,292,55,yes,55
140,422,85,no,85
548,428,52,yes,52
264,444,58,yes,58
102,544,99,no,99
474,336,82,no,82
274,320,80,no,80
656,540,97,no,97
644,176,85,no,85
520,130,67,no,67
664,196,49,yes,49
620,80,78,no,78
674,178,83,no,83
322,176,76,no,76
274,288,54,no,54
266,186,95,no,95
456,592,46,yes,46
94,488,94,no,94
306,140,91,no,91
688,306,85,no,85
618,134,81,no,81
744,484,70,no,70
718,620,50,yes,50
316,308,81,no,81
582,218,80,no,80
586,338,85,no,85
400,450,80,no,80
572,442,80,no,80
634,382,77,no,77
94,140,76,no,76
110,192,66,no,66
184,178,65,no,65
300,294,60,no,60
758,418,82,no,82
554,554,81,no,81
198,138,70,no,70
494,140,65,no,65
550,586,47,yes,47
596,510,40,yes,40
718,48,77,no,77
466,484,47,yes,47
140,510,90,no,90
166,166,70,no,70
160,414,51,yes,51
772,210,49,no,49
742,394,76,no,76
566,310,70,no,70
542,232,66,no,66
372,334,44,yes,44
280,162,83,no,83
636,222,76,no,76
536,44,44,yes,44
546,330,61,no,61
100,168,47,yes,47
658,400,76,no,76
402,260,70,no,70
318,626,52,yes,52
556,210,68,no,68
226,610,46,yes,46
328,152,81,no,81
700,276,76,no,76
90,188,66,no,66
216,82,64,no,64
392,550,60,no,60
780,520,82,no,82
678,220,72,no,72
764,498,55,no,55
452,344,72,no,72
434,586,71,no,71
778,400,70,no,70
780,378,70,no,70
640,98,62,no,62
388,528,50,no,50
48,498,47,yes,47
488,198,37,yes,37
508,642,29,yes,29
434,72,70,no,70
226,64,67,no,67
656,466,66,no,66
586,306,62,no,62
372,84,48,yes,48
364,412,80,no,80
738,42,76,no,76
340,612,74,no,74
474,578,73,no,73
182,432,72,no,72
532,570,72,no,72
572,598,63,no,63
562,230,48,yes,48
672,478,46,yes,46
488,268,43,yes,43
230,528,36,yes,36
494,372,78,no,78
284,204,76,no,76
382,222,72,no,72
496,112,54,no,54
754,200,48,no,48
56,96,40,yes,40
742,290,75,no,75
596,78,54,no,54
670,562,50,no,50
284,142,75,no,75
528,428,58,no,58
824,288,57,yes,57
654,356,70,no,70
84,426,33,yes,33
362,534,62,no,62
726,312,61,no,61
178,404,53,no,53
186,154,50,yes,50
302,608,76,no,76
158,526,72,no,72
564,414,65,no,65
630,360,66,no,66
576,518,62,no,62
742,136,50,no,50
508,276,47,no,47
558,54,52,no,52
784,582,48,yes,48
148,572,83,no,83
456,618,70,no,70
348,436,62,no,62
460,512,62,no,62
360,354,64,no,64
362,102,64,no,64
678,376,63,no,63
142,400,60,no,60
648,570,60,no,60
444,484,70,no,70
752,58,56,no,56
78,168,54,no,54
124,34,50,yes,50
314,276,62,no,62
58,340,52,no,52
238,354,33,yes,33
720,270,68,no,68
772,472,66,no,66
528,62,55,no,55
70,384,50,no,50
286,548,50,no,50
708,324,76,no,76
552,614,66,no,66
158,436,61,no,61
314,540,44,no,44
202,66,42,no,42
236,234,38,no,38
140,106,29,yes,29
624,630,53,no,53
396,72,61,no,61
376,60,58,no,58
470,74,43,no,43
740,218,40,no,40
116,64,66,no,66
544,448,58,no,58
656,214,50,no,50
784,134,44,no,44
568,152,29,yes,29
374,312,59,no,59
156,550,49,no,49
634,276,36,yes,36
340,634,66,no,66
138,62,60,no,60
700,60,58,no,58
810,86,36,yes,36
96,232,30,yes,30
312,364,30,yes,30
194,604,72,no,72
544,310,60,no,60
34,594,55,yes,55
82,404,46,no,46
568,352,56,no,56
686,462,50,no,50
418,138,44,no,44
406,636,40,no,40
74,108,46,no,46
144,642,43,yes,43
376,148,39,no,39
400,508,58,no,58
452,62,39,no,39
454,466,50,no,50
712,136,42,no,42
190,474,29,yes,29
204,174,52,no,52
452,568,48,no,48
532,498,29,yes,29
374,450,50,no,50
442,120,44,no,44
402,424,55,no,55
804,574,50,no,50
644,630,48,no,48
52,366,38,no,38
328,234,23,yes,23
294,272,48,no,48
124,462,42,no,42
46,244,38,no,38
24,252,50,yes,50
92,326,46,no,46
102,36,58,no,58
212,152,50,no,50
312,198,49,no,49
308,26,40,no,40
206,630,46,no,46
282,84,27,yes,27
44,476,44,no,44
830,190,38,yes,38
730,544,34,no,34
716,438,31,no,31
500,538,26,yes,26
516,42,41,no,41
472,208,38,no,38
560,260,42,no,42
588,626,32,no,32
82,276,25,yes,25
290,528,44,no,44
494,352,41,no,41
100,596,22,yes,22
162,392,40,no,40
788,154,32,no,32
48,270,32,no,32
20,422,28,yes,28
48,612,57,no,57
344,482,29,yes,29
280,358,33,no,33
626,424,36,no,36
450,182,29,no,29
698,628,38,no,38
332,372,36,no,36
384,404,31,no,31
366,242,43,no,43
64,482,38,no,38
244,126,23,no,23
240,106,36,no,36
108,372,20,yes,20
676,134,29,no,29
606,162,27,no,27
322,598,43,no,43
104,106,29,no,29
44,384,24,yes,24
52,190,24,no,24
462,394,22,no,22
612,584,21,yes,21
564,82,29,no,29
794,498,43,no,43
488,474,32,no,32
30,308,20,yes,20
350,198,25,no,25
764,80,38,no,38
760,370,37,no,37
122,566,36,no,36
812,180,30,no,30
534,174,21,no,21
376,596,14,yes,14
152,34,36,no,36
424,300,20,yes,20
420,38,19,no,19
262,268,32,no,32
326,90,29,no,29
314,646,36,no,36
64,516,29,no,29
614,284,24,no,24
820,140,18,no,18
198,218,29,no,29
590,50,21,no,21
146,212,19,no,19
618,242,17,no,17
216,286,30,no,30
594,376,23,no,23
554,102,21,no,21
444,532,19,yes,19
512,312,19,no,19
464,640,17,yes,17
408,596,14,yes,14
574,116,13,yes,13
264,568,22,no,22
240,40,21,no,21
178,82,19,no,19
728,160,19,no,19
26,146,18,no,18
644,314,22,no,22
