x,y,r (pixel),is_circle,r (um)
804,444,42,yes,42
162,538,48,yes,48
170,98,49,yes,49
444,584,99,no,99
280,352,55,yes,55
518,416,39,yes,39
626,280,38,yes,38
562,344,48,yes,48
628,598,39,yes,39
68,336,32,yes,32
534,488,36,yes,36
616,120,34,yes,34
720,408,43,yes,43
94,392,29,yes,29
718,492,41,yes,41
460,464,38,yes,38
306,142,25,yes,25
566,42,37,yes,37
670,220,37,yes,37
756,152,30,yes,30
426,598,62,no,62
410,296,29,yes,29
388,194,67,no,67
264,186,86,no,86
302,474,44,yes,44
264,336,80,no,80
574,190,46,no,46
534,120,45,yes,45
234,440,58,no,58
374,422,44,yes,44
152,322,22,yes,22
514,578,38,yes,38
276,256,25,yes,25
298,366,70,no,70
262,572,32,yes,32
218,224,28,yes,28
422,576,72,no,72
502,194,38,yes,38
390,496,33,no,33
710,284,45,yes,45
110,26,57,yes,57
392,214,47,yes,47
634,440,38,yes,38
722,340,28,yes,28
214,438,59,no,59
232,420,50,no,50
348,568,40,yes,40
400,74,35,yes,35
370,346,34,yes,34
456,398,50,no,50
456,518,24,yes,24
208,418,70,no,70
460,242,45,no,45
458,106,32,yes,32
312,344,62,no,62
312,452,51,no,51
496,50,35,yes,35
354,24,32,yes,32
788,308,30,yes,30
534,258,45,yes,45
94,576,29,yes,29
394,420,55,no,55
766,552,44,no,44
798,222,24,yes,24
272,620,40,no,40
242,60,36,yes,36
436,166,32,yes,32
218,624,34,yes,34
454,326,22,yes,22
370,154,25,yes,25
432,24,23,yes,23
546,322,54,no,54
846,282,34,yes,34
40,98,27,yes,27
790,614,24,yes,24
448,378,31,yes,31
716,624,15,yes,15
328,202,20,yes,20
440,554,38,no,38
346,102,33,no,33
514,640,25,no,25
602,182,54,no,54
50,168,22,yes,22
180,196,20,yes,20
208,370,23,yes,23
362,550,42,no,42
172,518,34,no,34
746,64,25,yes,25
718,540,18,yes,18
404,476,36,no,36
288,96,25,yes,25
180,272,16,yes,16
422,638,29,no,29
318,276,24,yes,24
358,292,27,no,27
190,320,17,yes,17
482,446,31,no,31
488,344,22,yes,22
334,238,18,yes,18
434,666,17,yes,17
416,444,27,no,27
812,528,25,no,25
282,194,37,no,37
570,324,29,no,29
504,446,29,no,29
418,334,21,no,21
466,288,20,yes,20
74,628,19,yes,19
390,116,16,yes,16
676,74,15,yes,15
388,608,30,no,30
306,618,21,yes,21
828,138,13,yes,13
286,236,34,no,34
154,472,19,yes,19
428,288,27,no,27
812,652,10,yes,10
406,368,20,no,20
544,468,20,no,20
