index,x,y,r (pixel),is_circle,r (um),probability
17,804,246,14,no,14,0.5961035184646699
3,730,374,12,yes,12,0.5759972489683631
51,694,504,17,yes,17,0.5631440210879463
29,790,270,15,no,15,0.5570938818565401
33,758,278,15,no,15,0.5406118143459915
31,746,314,15,no,15,0.5406118143459915
92,486,524,20,no,20,0.5358636553743203
74,666,348,19,no,19,0.5318006016330039
142,332,442,39,no,39,0.5313687236882637
91,576,164,20,yes,20,0.5227938101212881
11,508,464,14,yes,14,0.5161384123291655
1,406,154,12,yes,12,0.515818431911967
24,540,238,15,yes,15,0.5142405063291139
84,686,606,19,no,19,0.510313708637731
46,424,544,17,no,17,0.5092259765156961
147,778,298,45,no,45,0.5088678551736814
82,788,452,19,yes,19,0.5076278470133219
83,704,542,19,no,19,0.5049419853889128
32,746,338,15,no,15,0.5043512658227848
7,314,576,13,yes,13,0.5022683084899546
69,538,276,19,yes,19,0.49957026214009453
144,582,644,40,no,40,0.4984878773899226
135,570,600,34,no,34,0.49552816050277976
15,522,560,14,yes,14,0.4943297470194824
48,740,286,17,no,17,0.4942487419122933
76,258,598,19,yes,19,0.49419853889127635
89,642,418,20,yes,20,0.48881221246340445
18,470,108,14,yes,14,0.4870601919162547
106,608,56,24,yes,24,0.4838171504838172
13,636,524,14,yes,14,0.48342541436464087
98,792,108,22,yes,22,0.48287172011661805
43,650,498,17,yes,17,0.482266954229571
42,500,362,16,yes,16,0.48218673218673214
10,648,632,13,yes,13,0.4820155541153597
35,666,624,15,no,15,0.48127637130801687
123,536,594,27,no,27,0.48119797859690844
78,730,616,19,yes,19,0.4807692307692308
62,582,90,18,yes,18,0.4804487891579649
45,408,418,17,yes,17,0.47927150730889045
108,380,454,24,no,24,0.47756089422756093
55,676,106,17,yes,17,0.47627606038820985
20,402,352,14,yes,14,0.4761558592614132
36,744,400,16,yes,16,0.4729729729729729
60,628,262,18,yes,18,0.47211730726505224
128,664,454,29,no,29,0.4708097928436911
37,446,306,16,yes,16,0.46990171990171986
0,798,538,10,yes,10,0.4693177230520791
86,364,372,19,no,19,0.4673399226471852
97,798,310,22,no,22,0.4646501457725947
70,374,270,19,yes,19,0.46196819939836703
71,776,42,19,yes,19,0.46196819939836703
21,432,604,14,no,14,0.4616167490549578
2,740,158,12,yes,12,0.4599381017881706
5,328,468,12,yes,12,0.4599381017881706
133,344,654,32,yes,32,0.4590639237884854
34,496,332,15,yes,15,0.4582014767932489
148,670,546,49,no,49,0.4558045311724822
116,706,652,25,no,25,0.45495718050065875
93,824,610,20,yes,20,0.4548306148055207
121,344,526,27,yes,27,0.4533293697978597
63,558,26,18,yes,18,0.452677182848256
65,384,402,18,yes,18,0.452677182848256
4,390,374,12,yes,12,0.45134112792297115
102,706,80,22,yes,22,0.4509839650145772
119,544,518,26,no,26,0.44921875
26,780,204,15,yes,15,0.4483122362869198
138,746,498,35,no,35,0.44757033248081834
16,418,234,14,yes,14,0.4470776388485025
99,622,216,22,yes,22,0.4464285714285714
136,126,58,34,no,34,0.44567319313512205
131,242,540,29,yes,29,0.44558783965563625
50,454,598,17,yes,17,0.44332614426072364
81,230,152,19,yes,19,0.4431671680275032
25,564,468,15,yes,15,0.4417194092827004
75,712,434,19,yes,19,0.44048130640309413
137,598,482,34,no,34,0.43963016678752714
90,368,68,20,yes,20,0.43914680050188204
68,282,212,18,yes,18,0.4387913796934015
72,344,100,19,yes,19,0.437795444778685
14,510,124,14,yes,14,0.43617330619366096
44,820,136,17,yes,17,0.43433980349868195
6,456,390,12,yes,12,0.43414718019257226
9,328,158,13,yes,13,0.4334089436163318
127,690,32,29,yes,29,0.4321361312886736
27,602,300,15,yes,15,0.4318301687763713
23,768,374,15,yes,15,0.4318301687763713
110,382,534,24,no,24,0.4316816816816817
105,46,366,24,yes,24,0.4316816816816817
58,822,664,17,yes,17,0.4313443565780014
96,80,46,22,no,22,0.430484693877551
66,464,78,18,no,18,0.4304598978004888
73,436,468,19,yes,19,0.42973785990545765
103,240,228,22,yes,22,0.4259293002915452
117,186,344,26,yes,26,0.42578125
28,360,610,15,yes,15,0.42194092827004215
85,450,32,19,no,19,0.4216802750322303
113,144,624,25,no,25,0.4179018445322793
80,596,376,19,no,19,0.41630855178341214
139,50,476,35,no,35,0.41560102301790275
120,198,312,27,yes,27,0.4143133174791914
79,578,212,19,yes,19,0.413622690159003
109,692,196,24,yes,24,0.41291291291291293
125,56,106,27,yes,27,0.4124554102259215
53,468,246,17,yes,17,0.41037622813323743
49,770,326,17,no,17,0.4073807812125569
61,798,586,18,yes,18,0.4054654521217507
22,572,346,15,yes,15,0.40545886075949367
124,628,162,27,no,27,0.4050237812128418
145,578,512,43,no,43,0.40439119895580833
101,396,128,22,yes,22,0.40315233236151604
114,306,516,25,yes,25,0.40143280632411066
54,306,306,17,yes,17,0.40138988737119574
56,34,642,17,no,17,0.40138988737119574
38,150,262,16,yes,16,0.39926289926289926
118,90,130,26,no,26,0.3984375
41,528,40,16,yes,16,0.39619164619164615
12,542,404,14,yes,14,0.3961907531259087
107,648,202,24,yes,24,0.39414414414414417
112,748,74,25,yes,25,0.39319828722002637
39,624,326,16,yes,16,0.3931203931203931
47,422,500,17,yes,17,0.39240354660915405
40,462,200,16,yes,16,0.39004914004914004
87,766,148,19,yes,19,0.389449935539321
57,314,78,17,yes,17,0.3894080996884735
141,226,640,36,yes,36,0.3859447004608295
143,88,170,39,no,39,0.38504979977410414
77,70,570,19,yes,19,0.3840782122905028
111,180,608,24,yes,24,0.38371705038371706
52,340,198,17,yes,17,0.38341720584711236
30,480,304,15,yes,15,0.3823839662447257
129,110,642,29,no,29,0.3816922249125639
146,332,330,43,no,43,0.3799179563677047
88,736,26,19,no,19,0.3787064890416846
95,148,456,22,yes,22,0.37809766763848396
140,484,644,35,yes,35,0.37781911183445704
100,70,628,22,yes,22,0.3712645772594752
130,448,332,29,no,29,0.36824051654560125
104,158,416,23,yes,23,0.3659476117103236
94,290,646,22,yes,22,0.36443148688046645
19,382,218,14,yes,14,0.36347775516138414
132,690,234,29,no,29,0.3631961259079903
59,342,236,18,yes,18,0.3610308820262164
8,472,492,13,yes,13,0.356448476992871
67,356,150,18,yes,18,0.35547656076427464
64,196,534,18,yes,18,0.3499222395023328
122,542,108,27,yes,27,0.33070749108204517
134,502,280,33,no,33,0.33038274529360423
126,466,142,27,no,27,0.3214179548156956
115,204,190,25,no,25,0.31908761528326746
