x,y,r (pixel),is_circle,r (um)
466,306,55,yes,162.25
580,304,54,yes,159.3
370,110,54,yes,159.3
130,126,55,yes,162.25
676,246,61,yes,179.95000000000002
474,140,54,yes,159.3
598,180,43,yes,126.85000000000001
760,142,53,yes,156.35000000000002
326,200,46,yes,135.70000000000002
818,388,52,yes,153.4
292,52,38,yes,112.10000000000001
818,284,51,yes,150.45000000000002
668,136,38,yes,112.10000000000001
640,52,48,yes,141.60000000000002
384,258,41,yes,120.95
402,184,31,yes,91.45
524,224,45,yes,132.75
568,102,39,yes,115.05000000000001
226,92,41,yes,120.95
42,76,44,yes,129.8
736,312,37,yes,109.15
766,58,30,yes,88.5
738,142,70,no,206.5
368,10,42,yes,123.9
554,24,40,yes,118.0
710,78,24,yes,70.80000000000001
292,128,33,yes,97.35000000000001
768,222,28,yes,82.60000000000001
122,22,44,yes,129.8
182,50,22,yes,64.9
462,20,47,yes,138.65
838,184,32,yes,94.4
838,52,38,yes,112.10000000000001
226,24,28,yes,82.60000000000001
456,208,23,yes,67.85000000000001
652,242,74,no,218.3
716,24,26,yes,76.7
512,68,25,yes,73.75
774,126,64,no,188.8
848,452,29,yes,85.55000000000001
768,162,34,no,100.30000000000001
470,70,14,yes,41.300000000000004
