x,y,r (pixel),is_circle,r (um)
394,190,109,yes,109
610,334,148,yes,148
290,398,132,yes,132
736,122,102,yes,102
560,108,78,yes,78
200,208,89,yes,89
264,366,318,no,318
576,348,174,no,174
516,314,242,no,242
590,366,181,no,181
582,320,176,no,176
604,306,170,no,170
472,534,100,yes,100
608,356,163,no,163
548,268,272,no,272
186,192,110,no,110
600,250,222,no,222
380,172,130,no,130
584,292,191,no,191
434,160,158,no,158
706,138,136,no,136
630,350,170,no,170
38,360,131,yes,131
332,174,172,no,172
424,196,129,no,129
376,202,121,no,121
638,326,171,no,171
560,314,200,no,200
728,144,124,no,124
756,122,117,no,117
54,578,91,yes,91
628,392,209,no,209
398,218,128,no,128
358,186,145,no,145
718,114,112,no,112
26,342,153,no,153
288,376,153,no,153
736,98,125,no,125
314,398,108,no,108
388,150,148,no,148
540,324,217,no,217
552,368,205,no,205
464,502,136,no,136
300,416,133,no,133
212,172,126,no,126
532,304,226,no,226
356,424,190,no,190
500,548,130,no,130
264,410,149,no,149
50,340,107,no,107
322,206,175,no,175
536,90,107,no,107
146,162,161,no,161
142,200,130,no,130
172,500,53,yes,53
716,90,137,no,137
558,338,168,no,168
358,216,144,no,144
224,208,110,no,110
280,456,172,no,172
168,206,113,no,113
558,86,99,no,99
202,234,107,no,107
602,286,106,no,106
622,280,90,no,90
408,170,85,no,85
452,174,157,no,157
312,378,152,no,152
270,386,96,no,96
628,308,168,no,168
578,124,99,no,99
286,436,150,no,150
418,238,146,no,146
552,128,89,no,89
652,354,117,no,117
98,48,100,yes,100
450,528,106,no,106
824,268,73,yes,73
58,178,49,yes,49
428,534,137,no,137
334,394,88,no,88
624,260,75,no,75
768,104,74,no,74
678,370,85,no,85
52,554,71,no,71
30,556,125,no,125
828,290,73,no,73
668,322,94,no,94
654,308,97,no,97
644,288,90,no,90
648,262,62,no,62
