x,y,r (pixel),is_circle,r (um)
682,510,29,yes,29
388,102,30,yes,30
432,56,34,yes,34
530,514,35,yes,35
280,472,37,yes,37
432,462,30,yes,30
112,522,24,yes,24
354,478,27,yes,27
510,40,34,yes,34
744,48,46,no,46
684,390,36,yes,36
820,98,35,yes,35
188,572,23,yes,23
770,110,20,yes,20
802,308,30,yes,30
752,506,35,yes,35
298,560,34,yes,34
106,476,24,yes,24
196,174,19,yes,19
368,46,30,yes,30
478,84,23,yes,23
252,526,25,yes,25
474,586,25,yes,25
312,244,21,yes,21
236,580,35,no,35
188,618,24,yes,24
350,126,21,yes,21
586,326,32,no,32
282,212,25,yes,25
556,464,24,yes,24
194,258,22,yes,22
824,200,20,yes,20
834,380,22,yes,22
826,570,21,yes,21
402,498,19,yes,19
638,30,27,no,27
466,504,24,yes,24
50,632,24,yes,24
50,356,22,yes,22
584,28,22,yes,22
54,288,17,yes,17
274,654,32,no,32
708,560,29,no,29
32,120,25,yes,25
200,304,24,yes,24
504,620,19,yes,19
620,102,18,yes,18
648,560,29,yes,29
468,638,24,yes,24
602,206,22,yes,22
208,450,20,yes,20
598,538,19,yes,19
650,242,19,yes,19
62,484,38,no,38
132,616,26,yes,26
54,216,20,yes,20
302,172,19,yes,19
566,558,17,yes,17
152,408,28,yes,28
588,498,24,yes,24
730,96,17,yes,17
156,460,24,no,24
318,638,19,yes,19
708,150,17,yes,17
384,426,29,yes,29
86,258,28,yes,28
502,468,20,yes,20
306,22,27,yes,27
528,568,24,yes,24
102,642,20,yes,20
538,78,17,yes,17
438,178,29,yes,29
830,524,22,yes,22
102,98,22,yes,22
724,422,20,yes,20
126,270,19,yes,19
334,362,27,yes,27
232,196,22,yes,22
284,114,18,yes,18
686,276,32,no,32
172,520,24,no,24
182,368,20,yes,20
750,142,17,yes,17
230,640,17,yes,17
650,474,17,yes,17
148,350,22,yes,22
512,376,22,yes,22
326,202,19,yes,19
316,412,34,yes,34
526,332,27,yes,27
778,196,27,yes,27
64,576,22,yes,22
74,530,22,yes,22
370,200,19,no,19
746,594,19,yes,19
226,548,18,yes,18
422,416,14,yes,14
116,568,23,yes,23
618,472,17,yes,17
696,46,15,yes,15
686,446,26,yes,26
258,154,22,yes,22
566,104,22,yes,22
354,622,18,yes,18
292,614,12,yes,12
364,298,17,yes,17
406,220,17,yes,17
44,184,16,yes,16
660,614,30,no,30
26,532,26,yes,26
334,278,19,yes,19
88,606,18,yes,18
604,384,22,yes,22
148,302,20,yes,20
472,124,17,yes,17
700,118,16,yes,16
732,384,18,yes,18
640,650,19,yes,19
